Fecha,Rating,Titulo,Reviews
"February 7, 2021",50,Delicioso,"Comida típica con un muy buen sabor, sin duda volvería mil veces más.... la arepa de chocolo es la locura"
"November 16, 2020",50,Genial,"Simplemente genial, brillante, todo acompaña: el sitio, la comida, el personal, la música, la tienda... todo"
"October 18, 2020",50,Lindo lugar,"El lugar es muy agradable tiene una decoración espectacular, la comida me gusto mucho y la atención estuvo bien"
"August 11, 2020",10,Opinion,Muy costoso para los precios que tiene ...demora en la atención ...tenía muchas expectativas de conocerlo pero fue desepcionante
"June 21, 2020",50,Excelente!!!,"La comida excelente y la atención fabulosa!!! 🙌🏻 Volveré sin lugar a dudas, el lugar es muy bonito!"
"April 5, 2020",50,Familia,"Además de ser un lugar para rumbear, tambien puedes visitarlo en familia y amigos para degustar sus platillos"
"March 6, 2020",50,Curso Mexico en Colombia,"Excelente concepto, buenos precios, enorme lugar disfraces, decoración, confianza , me agrado mucho,"
"February 18, 2020",40,Buen sitio para celebracion,buen servicio excelente sitio un poco costoso muy buena la variedad de comida y parque y zonas recreativas
"February 12, 2020",50,Excelente lugar para probar la comida tipica Colombiana!!!,"Hermoso lugar en Bogota para comer lo mas tipico de la comida tipica Colombiana, lo recomiendo ampliemente"
"January 27, 2020",50,Bueno y divertido,"Excelente y variado entretenimiento para chicos y adultos, variedad de menus , ambientes y actividadea"
"January 19, 2020",20,Flojo,Regular . Sobreestimado. Un negocio común y corriente. Carne de calidad cuestionable. Un buen sitio para botar la plata
"January 15, 2020",50,Maravilloso,La comida deliciosa no hubo quejas Atención buena Ambiente agradable Buenos precios Muy cómodo y agradable
"January 14, 2020",40,Visita de amigos,"Excelente sitio. Imperdible en Bogota. Muchos detalles, atención esmerada, una inmensa carta para todos los gustos."
"January 12, 2020",10,Pésima comida,Estuve con mi familia en el aeropuerto hoy 3:00 pm y nos fue terrible. Pedimos hamburguesas y frías; sin sabor....
"January 7, 2020",50,Buena comida,"Lugar muy agradable para compartir, una comida con excelente sazon y muy buena atención por parte del personal."
"December 31, 2019",50,Excelente sitio para carnívoros,"Me encantó tanto el ambiente como la comida, ATENCION muy agradable por el personal, correcta calidad precio"
"December 25, 2019",50,Excelente,Muy buena comida con excelentes cortes de carne.y acompanantes. El trato con la mesera fue excelente. Buen Servicio
"December 15, 2019",50,Muy recomendable,"Excelente lugar muy buena atención, muy buena comida, un poco caro, pero una buena experiencia, Muy recomendable"
"December 6, 2019",30,Mas o menos,Bonito restaurante pero la carne pudo ser mejor y para ser honesta el precio demasiado caro para tan poca comida
"December 1, 2019",30,Precio justo. Decoración espectacular. Alimentos promedio,Un poco sobrevalorado. Experiencia incompleta. Elige los horarios que tengan show o baile para vivir experiencia completa. Reserva con anticipación
"November 29, 2019",40,INCREIBLE EXPERIENCIA,Recomiendo el lomo al trapo y la arepa de choclo. El restaurante es precioso aunque un poco costoso.
"November 26, 2019",10,Sibrevalorado,"Precios exorbitantes. Una trampa para turistas. Buen servicio, buenos meseros. Con el mismo presupuesto se compra un vuelo a Cartagena."
"November 25, 2019",50,unico,"es un sitio muy especial,.alucinate. La gente, el ambiente toda la almofera. La rumba mejor organizada."
"November 13, 2019",50,La mejor comida,Solo Impresionante lo grande de este Andres carnes y la cantidad enorme de personas que puede recibir simultáneamente.
"November 12, 2019",50,Visita inesperada,Excelente lugar en general..Buena música Buena comida buena atención.. Super recomendado este establecimiento
"November 7, 2019",50,La atencion y las carnes excelentes,"La atención y las carnes excelentes, los camareros atentos y sabian responder al tipo de comida que se le preguntaba"
"November 6, 2019",50,Súper visita,Nos encantó. Excelente servicio y ambiente. Muy buena la comida y los detalles para los cumpleañeros!!
"November 5, 2019",40,Ricura,Un buen ambiente familiar y agradable música baile trato y por sobre todo sabores.... muy buenos precios y a disfrutar
"November 1, 2019",50,De cena y rumba,"Excelente sitio, un poco costoso pero bueno, el ambiente para rumbear es buenísimo, hay que visitarlo"
"October 13, 2019",50,Excelente,"No deja de sorprender este restaurante. Excelente comida, excelente música y servicio perfecto. Felicitaciones!"
"October 8, 2019",50,Adorable!!!,"Todo es delicioso, las carnes, los postres, en fin siempre te quedan ganas de regresar y probarlo todo!!!!"
"September 21, 2019",50,Amigos Medicos,Excellente servicio y la comida super buena en Andrés carne de res Ibague. Fue una buena cena de amigos.
"September 19, 2019",50,Visita para conocer,Es un sitio muy agradable donde escoger la comida es toda una experiencia. Buena diversidad de comidas
"August 23, 2019",40,Muy bueno,Pollo a la parrilla excelente. Servicio excelente. Ambiente súper agradable.Hamburguesa vegetariana muy buena.
